POZIOM;REGION;WOJ;PODREG;POW;GMI;RODZ;NAZWA;NAZWA_DOD;STAN_NA
1;1;;;;;;CENTRALNY;region;2005-01-01
1;2;;;;;;POŁUDNIOWY;region;2005-01-01
1;3;;;;;;WSCHODNI;region;2005-01-01
1;4;;;;;;PÓŁNOCNO-ZACHODNI;region;2005-01-01
1;5;;;;;;POŁUDNIOWO-ZACHODNI;region;2005-01-01
1;6;;;;;;PÓŁNOCNY;region;2005-01-01
2;1;10;;;;;ŁÓDZKIE;województwo;2005-01-01
2;1;14;;;;;MAZOWIECKIE;województwo;2005-01-01
2;2;12;;;;;MAŁOPOLSKIE;województwo;2005-01-01
2;2;24;;;;;ŚLĄSKIE;województwo;2005-01-01
2;3;06;;;;;LUBELSKIE;województwo;2005-01-01
2;3;18;;;;;PODKARPACKIE;województwo;2005-01-01
2;3;20;;;;;PODLASKIE;województwo;2005-01-01
2;3;26;;;;;ŚWIĘTOKRZYSKIE;województwo;2005-01-01
2;4;08;;;;;LUBUSKIE;województwo;2005-01-01
2;4;30;;;;;WIELKOPOLSKIE;województwo;2005-01-01
2;4;32;;;;;ZACHODNIOPOMORSKIE;województwo;2005-01-01
2;5;02;;;;;DOLNOŚLĄSKIE;województwo;2005-01-01
2;5;16;;;;;OPOLSKIE;województwo;2005-01-01
2;6;04;;;;;KUJAWSKO-POMORSKIE;województwo;2005-01-01
2;6;22;;;;;POMORSKIE;województwo;2005-01-01
2;6;28;;;;;WARMIŃSKO-MAZURSKIE;województwo;2005-01-01
3;1;10;12;;;;ŁÓDZKI;podregion;2005-01-01
3;1;10;13;;;;PIOTRKOWSKO-SKIERNIEWICKI;podregion;2005-01-01
3;1;10;14;;;;ŁÓDŹ;podregion;2005-01-01
3;1;14;18;;;;CIECHANOWSKO-PŁOCKI;podregion;2005-01-01
3;1;14;19;;;;OSTROŁĘCKO-SIEDLECKI;podregion;2005-01-01
3;1;14;20;;;;WARSZAWSKI;podregion;2005-01-01
3;1;14;21;;;;RADOMSKI;podregion;2005-01-01
3;1;14;22;;;;WARSZAWA;podregion;2005-01-01
3;2;12;15;;;;KRAKOWSKO-TARNOWSKI;podregion;2005-01-01
3;2;12;16;;;;NOWOSĄDECKI;podregion;2005-01-01
3;2;12;17;;;;KRAKÓW;podregion;2005-01-01
3;2;24;31;;;;CZĘSTOCHOWSKI;podregion;2005-01-01
3;2;24;32;;;;BIELSKO-BIALSKI;podregion;2005-01-01
3;2;24;33;;;;CENTRALNY ŚLĄSKI;podregion;2005-01-01
3;2;24;45;;;;RYBNICKO-JASTRZĘBSKI;podregion;2005-01-01
3;3;06;07;;;;BIALSKOPODLASKI;podregion;2005-01-01
3;3;06;08;;;;CHEŁMSKO-ZAMOJSKI;podregion;2005-01-01
3;3;06;09;;;;LUBELSKI;podregion;2005-01-01
3;3;18;24;;;;RZESZOWSKO-TARNOBRZESKI;podregion;2005-01-01
3;3;18;25;;;;KROŚNIEŃSKO-PRZEMYSKI;podregion;2005-01-01
3;3;20;26;;;;BIAŁOSTOCKO-SUWALSKI;podregion;2005-01-01
3;3;20;27;;;;ŁOMŻYŃSKI;podregion;2005-01-01
3;3;26;34;;;;ŚWIĘTOKRZYSKI;podregion;2005-01-01
3;4;08;10;;;;GORZOWSKI;podregion;2005-01-01
3;4;08;11;;;;ZIELONOGÓRSKI;podregion;2005-01-01
3;4;30;38;;;;PILSKI;podregion;2005-01-01
3;4;30;39;;;;POZNAŃSKI;podregion;2005-01-01
3;4;30;40;;;;KALISKI;podregion;2005-01-01
3;4;30;41;;;;KONIŃSKI;podregion;2005-01-01
3;4;30;42;;;;POZNAŃ;podregion;2005-01-01
3;4;32;43;;;;SZCZECIŃSKI;podregion;2005-01-01
3;4;32;44;;;;KOSZALIŃSKI;podregion;2005-01-01
3;5;02;01;;;;JELENIOGÓRSKO-WAŁBRZYSKI;podregion;2005-01-01
3;5;02;02;;;;LEGNICKI;podregion;2005-01-01
3;5;02;03;;;;WROCŁAWSKI;podregion;2005-01-01
3;5;02;04;;;;WROCŁAW;podregion;2005-01-01
3;5;16;23;;;;OPOLSKI;podregion;2005-01-01
3;6;04;05;;;;BYDGOSKI;podregion;2005-01-01
3;6;04;06;;;;TORUŃSKO-WŁOCŁAWSKI;podregion;2005-01-01
3;6;22;28;;;;SŁUPSKI;podregion;2005-01-01
3;6;22;29;;;;GDAŃSKI;podregion;2005-01-01
3;6;22;30;;;;GDAŃSK-GDYNIA-SOPOT;podregion;2005-01-01
3;6;28;35;;;;ELBLĄSKI;podregion;2005-01-01
3;6;28;36;;;;OLSZTYŃSKI;podregion;2005-01-01
3;6;28;37;;;;EŁCKI;podregion;2005-01-01
4;1;10;12;02;;;kutnowski;powiat;2005-01-01
4;1;10;12;03;;;łaski;powiat;2005-01-01
4;1;10;12;04;;;łęczycki;powiat;2005-01-01
4;1;10;12;06;;;łódzki wschodni;powiat;2005-01-01
4;1;10;12;08;;;pabianicki;powiat;2005-01-01
4;1;10;12;11;;;poddębicki;powiat;2005-01-01
4;1;10;12;14;;;sieradzki;powiat;2005-01-01
4;1;10;12;17;;;wieluński;powiat;2005-01-01
4;1;10;12;18;;;wieruszowski;powiat;2005-01-01
4;1;10;12;19;;;zduńskowolski;powiat;2005-01-01
4;1;10;12;20;;;zgierski;powiat;2005-01-01
4;1;10;12;21;;;brzeziński;powiat;2005-01-01
4;1;10;13;01;;;bełchatowski;powiat;2005-01-01
4;1;10;13;05;;;łowicki;powiat;2005-01-01
4;1;10;13;07;;;opoczyński;powiat;2005-01-01
4;1;10;13;09;;;pajęczański;powiat;2005-01-01
4;1;10;13;10;;;piotrkowski;powiat;2005-01-01
4;1;10;13;12;;;radomszczański;powiat;2005-01-01
4;1;10;13;13;;;rawski;powiat;2005-01-01
4;1;10;13;15;;;skierniewicki;powiat;2005-01-01
4;1;10;13;16;;;tomaszowski;powiat;2005-01-01
4;1;10;13;62;;;Piotrków Trybunalski;miasto na prawach powiatu;2005-01-01
4;1;10;13;63;;;Skierniewice;miasto na prawach powiatu;2005-01-01
4;1;10;14;61;;;Łódź;miasto na prawach powiatu;2005-01-01
4;1;14;18;02;;;ciechanowski;powiat;2005-01-01
4;1;14;18;04;;;gostyniński;powiat;2005-01-01
4;1;14;18;13;;;mławski;powiat;2005-01-01
4;1;14;18;19;;;płocki;powiat;2005-01-01
4;1;14;18;20;;;płoński;powiat;2005-01-01
4;1;14;18;27;;;sierpecki;powiat;2005-01-01
4;1;14;18;37;;;żuromiński;powiat;2005-01-01
4;1;14;18;62;;;Płock;miasto na prawach powiatu;2005-01-01
4;1;14;19;10;;;łosicki;powiat;2005-01-01
4;1;14;19;11;;;makowski;powiat;2005-01-01
4;1;14;19;15;;;ostrołęcki;powiat;2005-01-01
4;1;14;19;16;;;ostrowski;powiat;2005-01-01
4;1;14;19;22;;;przasnyski;powiat;2005-01-01
4;1;14;19;24;;;pułtuski;powiat;2005-01-01
4;1;14;19;26;;;siedlecki;powiat;2005-01-01
4;1;14;19;29;;;sokołowski;powiat;2005-01-01
4;1;14;19;33;;;węgrowski;powiat;2005-01-01
4;1;14;19;35;;;wyszkowski;powiat;2005-01-01
4;1;14;19;61;;;Ostrołęka;miasto na prawach powiatu;2005-01-01
4;1;14;19;64;;;Siedlce;miasto na prawach powiatu;2005-01-01
4;1;14;20;05;;;grodziski;powiat;2005-01-01
4;1;14;20;06;;;grójecki;powiat;2005-01-01
4;1;14;20;08;;;legionowski;powiat;2005-01-01
4;1;14;20;12;;;miński;powiat;2005-01-01
4;1;14;20;14;;;nowodworski;powiat;2005-01-01
4;1;14;20;17;;;otwocki;powiat;2005-01-01
4;1;14;20;18;;;piaseczyński;powiat;2005-01-01
4;1;14;20;21;;;pruszkowski;powiat;2005-01-01
4;1;14;20;28;;;sochaczewski;powiat;2005-01-01
4;1;14;20;32;;;warszawski zachodni;powiat;2005-01-01
4;1;14;20;34;;;wołomiński;powiat;2005-01-01
4;1;14;20;38;;;żyrardowski;powiat;2005-01-01
4;1;14;21;01;;;białobrzeski;powiat;2005-01-01
4;1;14;21;03;;;garwoliński;powiat;2005-01-01
4;1;14;21;07;;;kozienicki;powiat;2005-01-01
4;1;14;21;09;;;lipski;powiat;2005-01-01
4;1;14;21;23;;;przysuski;powiat;2005-01-01
4;1;14;21;25;;;radomski;powiat;2005-01-01
4;1;14;21;30;;;szydłowiecki;powiat;2005-01-01
4;1;14;21;36;;;zwoleński;powiat;2005-01-01
4;1;14;21;63;;;Radom;miasto na prawach powiatu;2005-01-01
4;1;14;22;65;;;Warszawa;miasto na prawach powiatu;2005-01-01
4;2;12;15;01;;;bocheński;powiat;2005-01-01
4;2;12;15;02;;;brzeski;powiat;2005-01-01
4;2;12;15;03;;;chrzanowski;powiat;2005-01-01
4;2;12;15;04;;;dąbrowski;powiat;2005-01-01
4;2;12;15;06;;;krakowski;powiat;2005-01-01
4;2;12;15;08;;;miechowski;powiat;2005-01-01
4;2;12;15;12;;;olkuski;powiat;2005-01-01
4;2;12;15;13;;;oświęcimski;powiat;2005-01-01
4;2;12;15;14;;;proszowicki;powiat;2005-01-01
4;2;12;15;16;;;tarnowski;powiat;2005-01-01
4;2;12;15;19;;;wielicki;powiat;2005-01-01
4;2;12;15;63;;;Tarnów;miasto na prawach powiatu;2005-01-01
4;2;12;16;05;;;gorlicki;powiat;2005-01-01
4;2;12;16;07;;;limanowski;powiat;2005-01-01
4;2;12;16;09;;;myślenicki;powiat;2005-01-01
4;2;12;16;10;;;nowosądecki;powiat;2005-01-01
4;2;12;16;11;;;nowotarski;powiat;2005-01-01
4;2;12;16;15;;;suski;powiat;2005-01-01
4;2;12;16;17;;;tatrzański;powiat;2005-01-01
4;2;12;16;18;;;wadowicki;powiat;2005-01-01
4;2;12;16;62;;;Nowy Sącz;miasto na prawach powiatu;2005-01-01
4;2;12;17;61;;;Kraków;miasto na prawach powiatu;2005-01-01
4;2;24;31;04;;;częstochowski;powiat;2005-01-01
4;2;24;31;06;;;kłobucki;powiat;2005-01-01
4;2;24;31;09;;;myszkowski;powiat;2005-01-01
4;2;24;31;64;;;Częstochowa;miasto na prawach powiatu;2005-01-01
4;2;24;32;02;;;bielski;powiat;2005-01-01
4;2;24;32;03;;;cieszyński;powiat;2005-01-01
4;2;24;32;17;;;żywiecki;powiat;2005-01-01
4;2;24;32;61;;;Bielsko-Biała;miasto na prawach powiatu;2005-01-01
4;2;24;33;01;;;będziński;powiat;2005-01-01
4;2;24;33;05;;;gliwicki;powiat;2005-01-01
4;2;24;33;07;;;lubliniecki;powiat;2005-01-01
4;2;24;33;08;;;mikołowski;powiat;2005-01-01
4;2;24;33;10;;;pszczyński;powiat;2005-01-01
4;2;24;33;13;;;tarnogórski;powiat;2005-01-01
4;2;24;33;14;;;bieruńsko-lędziński;powiat;2005-01-01
4;2;24;33;16;;;zawierciański;powiat;2005-01-01
4;2;24;33;62;;;Bytom;miasto na prawach powiatu;2005-01-01
4;2;24;33;63;;;Chorzów;miasto na prawach powiatu;2005-01-01
4;2;24;33;65;;;Dąbrowa Górnicza;miasto na prawach powiatu;2005-01-01
4;2;24;33;66;;;Gliwice;miasto na prawach powiatu;2005-01-01
4;2;24;33;68;;;Jaworzno;miasto na prawach powiatu;2005-01-01
4;2;24;33;69;;;Katowice;miasto na prawach powiatu;2005-01-01
4;2;24;33;70;;;Mysłowice;miasto na prawach powiatu;2005-01-01
4;2;24;33;71;;;Piekary Śląskie;miasto na prawach powiatu;2005-01-01
4;2;24;33;72;;;Ruda Śląska;miasto na prawach powiatu;2005-01-01
4;2;24;33;74;;;Siemianowice Śląskie;miasto na prawach powiatu;2005-01-01
4;2;24;33;75;;;Sosnowiec;miasto na prawach powiatu;2005-01-01
4;2;24;33;76;;;Świętochłowice;miasto na prawach powiatu;2005-01-01
4;2;24;33;77;;;Tychy;miasto na prawach powiatu;2005-01-01
4;2;24;33;78;;;Zabrze;miasto na prawach powiatu;2005-01-01
4;2;24;45;11;;;raciborski;powiat;2005-01-01
4;2;24;45;12;;;rybnicki;powiat;2005-01-01
4;2;24;45;15;;;wodzisławski;powiat;2005-01-01
4;2;24;45;67;;;Jastrzębie-Zdrój;miasto na prawach powiatu;2005-01-01
4;2;24;45;73;;;Rybnik;miasto na prawach powiatu;2005-01-01
4;2;24;45;79;;;Żory;miasto na prawach powiatu;2005-01-01
4;3;06;07;01;;;bialski;powiat;2005-01-01
4;3;06;07;13;;;parczewski;powiat;2005-01-01
4;3;06;07;15;;;radzyński;powiat;2005-01-01
4;3;06;07;19;;;włodawski;powiat;2005-01-01
4;3;06;07;61;;;Biała Podlaska;miasto na prawach powiatu;2005-01-01
4;3;06;08;02;;;biłgorajski;powiat;2005-01-01
4;3;06;08;03;;;chełmski;powiat;2005-01-01
4;3;06;08;04;;;hrubieszowski;powiat;2005-01-01
4;3;06;08;06;;;krasnostawski;powiat;2005-01-01
4;3;06;08;18;;;tomaszowski;powiat;2005-01-01
4;3;06;08;20;;;zamojski;powiat;2005-01-01
4;3;06;08;62;;;Chełm;miasto na prawach powiatu;2005-01-01
4;3;06;08;64;;;Zamość;miasto na prawach powiatu;2005-01-01
4;3;06;09;05;;;janowski;powiat;2005-01-01
4;3;06;09;07;;;kraśnicki;powiat;2005-01-01
4;3;06;09;08;;;lubartowski;powiat;2005-01-01
4;3;06;09;09;;;lubelski;powiat;2005-01-01
4;3;06;09;10;;;łęczyński;powiat;2005-01-01
4;3;06;09;11;;;łukowski;powiat;2005-01-01
4;3;06;09;12;;;opolski;powiat;2005-01-01
4;3;06;09;14;;;puławski;powiat;2005-01-01
4;3;06;09;16;;;rycki;powiat;2005-01-01
4;3;06;09;17;;;świdnicki;powiat;2005-01-01
4;3;06;09;63;;;Lublin;miasto na prawach powiatu;2005-01-01
4;3;18;24;03;;;dębicki;powiat;2005-01-01
4;3;18;24;06;;;kolbuszowski;powiat;2005-01-01
4;3;18;24;08;;;leżajski;powiat;2005-01-01
4;3;18;24;10;;;łańcucki;powiat;2005-01-01
4;3;18;24;11;;;mielecki;powiat;2005-01-01
4;3;18;24;12;;;niżański;powiat;2005-01-01
4;3;18;24;15;;;ropczycko-sędziszowski;powiat;2005-01-01
4;3;18;24;16;;;rzeszowski;powiat;2005-01-01
4;3;18;24;18;;;stalowowolski;powiat;2005-01-01
4;3;18;24;20;;;tarnobrzeski;powiat;2005-01-01
4;3;18;24;63;;;Rzeszów;miasto na prawach powiatu;2005-01-01
4;3;18;24;64;;;Tarnobrzeg;miasto na prawach powiatu;2005-01-01
4;3;18;25;01;;;bieszczadzki;powiat;2005-01-01
4;3;18;25;02;;;brzozowski;powiat;2005-01-01
4;3;18;25;04;;;jarosławski;powiat;2005-01-01
4;3;18;25;05;;;jasielski;powiat;2005-01-01
4;3;18;25;07;;;krośnieński;powiat;2005-01-01
4;3;18;25;09;;;lubaczowski;powiat;2005-01-01
4;3;18;25;13;;;przemyski;powiat;2005-01-01
4;3;18;25;14;;;przeworski;powiat;2005-01-01
4;3;18;25;17;;;sanocki;powiat;2005-01-01
4;3;18;25;19;;;strzyżowski;powiat;2005-01-01
4;3;18;25;21;;;leski;powiat;2005-01-01
4;3;18;25;61;;;Krosno;miasto na prawach powiatu;2005-01-01
4;3;18;25;62;;;Przemyśl;miasto na prawach powiatu;2005-01-01
4;3;20;26;01;;;augustowski;powiat;2005-01-01
4;3;20;26;02;;;białostocki;powiat;2005-01-01
4;3;20;26;03;;;bielski;powiat;2005-01-01
4;3;20;26;05;;;hajnowski;powiat;2005-01-01
4;3;20;26;08;;;moniecki;powiat;2005-01-01
4;3;20;26;09;;;sejneński;powiat;2005-01-01
4;3;20;26;10;;;siemiatycki;powiat;2005-01-01
4;3;20;26;11;;;sokólski;powiat;2005-01-01
4;3;20;26;12;;;suwalski;powiat;2005-01-01
4;3;20;26;61;;;Białystok;miasto na prawach powiatu;2005-01-01
4;3;20;26;63;;;Suwałki;miasto na prawach powiatu;2005-01-01
4;3;20;27;04;;;grajewski;powiat;2005-01-01
4;3;20;27;06;;;kolneński;powiat;2005-01-01
4;3;20;27;07;;;łomżyński;powiat;2005-01-01
4;3;20;27;13;;;wysokomazowiecki;powiat;2005-01-01
4;3;20;27;14;;;zambrowski;powiat;2005-01-01
4;3;20;27;62;;;Łomża;miasto na prawach powiatu;2005-01-01
4;3;26;34;01;;;buski;powiat;2005-01-01
4;3;26;34;02;;;jędrzejowski;powiat;2005-01-01
4;3;26;34;03;;;kazimierski;powiat;2005-01-01
4;3;26;34;04;;;kielecki;powiat;2005-01-01
4;3;26;34;05;;;konecki;powiat;2005-01-01
4;3;26;34;06;;;opatowski;powiat;2005-01-01
4;3;26;34;07;;;ostrowiecki;powiat;2005-01-01
4;3;26;34;08;;;pińczowski;powiat;2005-01-01
4;3;26;34;09;;;sandomierski;powiat;2005-01-01
4;3;26;34;10;;;skarżyski;powiat;2005-01-01
4;3;26;34;11;;;starachowicki;powiat;2005-01-01
4;3;26;34;12;;;staszowski;powiat;2005-01-01
4;3;26;34;13;;;włoszczowski;powiat;2005-01-01
4;3;26;34;61;;;Kielce;miasto na prawach powiatu;2005-01-01
4;4;08;10;01;;;gorzowski;powiat;2005-01-01
4;4;08;10;03;;;międzyrzecki;powiat;2005-01-01
4;4;08;10;05;;;słubicki;powiat;2005-01-01
4;4;08;10;06;;;strzelecko-drezdenecki;powiat;2005-01-01
4;4;08;10;07;;;sulęciński;powiat;2005-01-01
4;4;08;10;61;;;Gorzów Wielkopolski;miasto na prawach powiatu;2005-01-01
4;4;08;11;02;;;krośnieński;powiat;2005-01-01
4;4;08;11;04;;;nowosolski;powiat;2005-01-01
4;4;08;11;08;;;świebodziński;powiat;2005-01-01
4;4;08;11;09;;;zielonogórski;powiat;2005-01-01
4;4;08;11;10;;;żagański;powiat;2005-01-01
4;4;08;11;11;;;żarski;powiat;2005-01-01
4;4;08;11;12;;;wschowski;powiat;2005-01-01
4;4;08;11;62;;;Zielona Góra;miasto na prawach powiatu;2005-01-01
4;4;30;38;01;;;chodzieski;powiat;2005-01-01
4;4;30;38;02;;;czarnkowsko-trzcianecki;powiat;2005-01-01
4;4;30;38;19;;;pilski;powiat;2005-01-01
4;4;30;38;28;;;wągrowiecki;powiat;2005-01-01
4;4;30;38;31;;;złotowski;powiat;2005-01-01
4;4;30;39;03;;;gnieźnieński;powiat;2005-01-01
4;4;30;39;05;;;grodziski;powiat;2005-01-01
4;4;30;39;11;;;kościański;powiat;2005-01-01
4;4;30;39;13;;;leszczyński;powiat;2005-01-01
4;4;30;39;14;;;międzychodzki;powiat;2005-01-01
4;4;30;39;15;;;nowotomyski;powiat;2005-01-01
4;4;30;39;16;;;obornicki;powiat;2005-01-01
4;4;30;39;21;;;poznański;powiat;2005-01-01
4;4;30;39;24;;;szamotulski;powiat;2005-01-01
4;4;30;39;25;;;średzki;powiat;2005-01-01
4;4;30;39;26;;;śremski;powiat;2005-01-01
4;4;30;39;29;;;wolsztyński;powiat;2005-01-01
4;4;30;39;30;;;wrzesiński;powiat;2005-01-01
4;4;30;39;63;;;Leszno;miasto na prawach powiatu;2005-01-01
4;4;30;40;04;;;gostyński;powiat;2005-01-01
4;4;30;40;06;;;jarociński;powiat;2005-01-01
4;4;30;40;07;;;kaliski;powiat;2005-01-01
4;4;30;40;08;;;kępiński;powiat;2005-01-01
4;4;30;40;12;;;krotoszyński;powiat;2005-01-01
4;4;30;40;17;;;ostrowski;powiat;2005-01-01
4;4;30;40;18;;;ostrzeszowski;powiat;2005-01-01
4;4;30;40;20;;;pleszewski;powiat;2005-01-01
4;4;30;40;22;;;rawicki;powiat;2005-01-01
4;4;30;40;61;;;Kalisz;miasto na prawach powiatu;2005-01-01
4;4;30;41;09;;;kolski;powiat;2005-01-01
4;4;30;41;10;;;koniński;powiat;2005-01-01
4;4;30;41;23;;;słupecki;powiat;2005-01-01
4;4;30;41;27;;;turecki;powiat;2005-01-01
4;4;30;41;62;;;Konin;miasto na prawach powiatu;2005-01-01
4;4;30;42;64;;;Poznań;miasto na prawach powiatu;2005-01-01
4;4;32;43;02;;;choszczeński;powiat;2005-01-01
4;4;32;43;04;;;goleniowski;powiat;2005-01-01
4;4;32;43;05;;;gryficki;powiat;2005-01-01
4;4;32;43;06;;;gryfiński;powiat;2005-01-01
4;4;32;43;07;;;kamieński;powiat;2005-01-01
4;4;32;43;10;;;myśliborski;powiat;2005-01-01
4;4;32;43;11;;;policki;powiat;2005-01-01
4;4;32;43;12;;;pyrzycki;powiat;2005-01-01
4;4;32;43;14;;;stargardzki;powiat;2005-01-01
4;4;32;43;18;;;łobeski;powiat;2005-01-01
4;4;32;43;62;;;Szczecin;miasto na prawach powiatu;2005-01-01
4;4;32;43;63;;;Świnoujście;miasto na prawach powiatu;2005-01-01
